UserInfoID;UserID;Country;City;PostCode;HPhone;MPhone
"1100";"1101";"US";"Denver";"1275";"5851870396";"6380600536"
"1201";"1202";"US";"Madison";"6233";"8546040742";"0652900198"
"1302";"1303";"US";"Springfield";"1155";"4943710708";"6520490369"
"1403";"1404";"US";"Springfield";"3606";"0151470004";"2276130741"
"1504";"1505";"US";"Jefferson City";"5484";"1114890206";"9535070950"
"1605";"1606";"US";"Carson City";"5200";"6343860362";"9792200835"
"1706";"1707";"US";"Baton Rouge";"7879";"2361330616";"5386170718"
"1807";"1808";"US";"Dover";"1021";"0427000016";"9660240460"
"1908";"1909";"US";"Jefferson City";"5409";"9669910950";"3272400328"
"2009";"2010";"US";"Salt Lake City";"6210";"5366270866";"6209550927"
"2110";"2111";"US";"Honolulu";"3541";"3351590217";"7693070727"
"2211";"2212";"US";"Juneau";"9967";"4338540799";"8505840950"
"2312";"2313";"US";"Atlanta";"4676";"4064370908";"2602900838"
"2413";"2414";"US";"Lansing";"9319";"8264510995";"7960720573"
"2514";"2515";"US";"Harrisburg";"2758";"3191150744";"8442560363"
"2615";"2616";"US";"Hartford";"6204";"5578360748";"1279530467"
"2716";"2717";"US";"Des Moines";"6477";"8047550202";"7350080189"
"2817";"2818";"US";"Columbus";"8400";"8809860311";"3862510084"
"2918";"2919";"US";"Carson City";"5537";"6394430303";"1218020923"
"3019";"3020";"US";"Providence";"2780";"3513770262";"8984250176"
"3120";"3121";"US";"Providence";"1523";"5760520173";"7841470024"
"3221";"3222";"US";"Columbia";"4401";"4101700881";"7156540183"
"3322";"3323";"US";"Jackson";"8843";"2149730871";"0111890058"
"3423";"3424";"US";"Jefferson City";"5922";"1761320057";"1229430978"
"3524";"3525";"US";"Montpelier";"3245";"3418490995";"3071780565"
"3625";"3626";"US";"Olympia";"2859";"9507960208";"1895700472"
"3726";"3727";"US";"Sacramento";"2431";"2227900542";"4175130037"
"3827";"3828";"US";"Honolulu";"9169";"9223580724";"8723630597"
"3928";"3929";"US";"Honolulu";"4240";"3495740556";"1368730511"
"4029";"4030";"US";"Columbus";"4663";"5868170422";"1723020133"
"4130";"4131";"US";"Dover";"2919";"1483470026";"4319270275"
"4231";"4232";"US";"Boise";"7761";"3658450536";"8379650915"
"4332";"4333";"US";"Carson City";"6976";"1422980574";"3561280184"
"4433";"4434";"US";"Madison";"8066";"9369010708";"1172990890"
"4534";"4535";"US";"Trenton";"9111";"0738320393";"2730870097"
"4635";"4636";"US";"Harrisburg";"6280";"7720850513";"0762190548"
"4736";"4737";"US";"Dover";"2738";"4797250971";"8700350920"
"4837";"4838";"US";"Pierre";"3947";"3822250994";"9455510212"
"4938";"4939";"US";"Little Rock";"4576";"2257750073";"4838550765"
"5039";"5040";"US";"Augusta";"1531";"7637070725";"0307930688"
"5140";"5141";"US";"Madison";"6833";"5004320497";"2172110720"
"5241";"5242";"US";"Tallahassee";"9325";"5555370886";"6752210781"
"5342";"5343";"US";"Concord";"7468";"7649220102";"3662470740"
"5443";"5444";"US";"Topeka";"3689";"4091480859";"7698180177"
"5544";"5545";"US";"Carson City";"6036";"1513590599";"6403730140"
"5645";"5646";"US";"Oklahoma City";"4124";"0594460849";"3065370187"
"5746";"5747";"US";"Phoenix";"5609";"8343420618";"6846340212"
"5847";"5848";"US";"Atlanta";"5677";"5965830020";"5004010848"
"5948";"5949";"US";"Dover";"7291";"8455450543";"4041600443"
"6049";"6050";"US";"Juneau";"5179";"4609850648";"9439260896"
"6150";"6151";"US";"Des Moines";"1805";"8517930611";"5951940862"
"6251";"6252";"US";"Albany";"8810";"6281000799";"3233870101"
"6352";"6353";"US";"Nashville";"7664";"3891230789";"3612110988"
"6453";"6454";"US";"Olympia";"7505";"5144040025";"1814040456"
"6554";"6555";"US";"Lincoln";"7427";"0533380916";"8496100891"
"6655";"6656";"US";"Cheyenne";"5681";"0811260576";"2333720742"
"6756";"6757";"US";"Boston";"2538";"1465520611";"7694910879"
"6857";"6858";"US";"Topeka";"8807";"6482280639";"7312140950"
"6958";"6959";"US";"Bismarck";"2238";"2852090462";"2290190281"
"7059";"7060";"US";"Montpelier";"1298";"9161080085";"3799680063"
